operation_id,start_unix_ns,end_unix_ns,latency_ms,node_count,is_global,success
op-1,1783280968453171900,1783280968479490500,26.3186,16,true,true
op-2,1783280968473376400,1783280968498768000,25.3916,16,true,true
op-3,1783280968494062900,1783280968519490700,25.4278,16,true,true
op-4,1783280968514520700,1783280968539701900,25.1812,16,true,true
op-5,1783280968535179300,1783280968556090000,20.9107,16,true,true
op-6,1783280968556090000,1783280968577020900,20.9309,16,true,true
op-7,1783280968577020900,1783280968598191500,21.1706,16,true,true
op-8,1783280968597689200,1783280968616638300,18.9491,16,true,true
op-9,1783280968618158100,1783280968637368300,19.2102,16,true,true
op-10,1783280968638887500,1783280968659996300,21.1088,16,true,true
op-11,1783280968659129000,1783280968680870200,21.7412,16,true,true
op-12,1783280968679880900,1783280968701779000,21.8981,16,true,true
op-13,1783280968700255500,1783280968727296500,27.0410,16,true,true
op-14,1783280968720751200,1783280968745298800,24.5476,16,true,true
op-15,1783280968741030300,1783280968764295900,23.2656,16,true,true
op-16,1783280968761264600,1783280968782949800,21.6852,16,true,true
op-17,1783280968781573900,1783280968803988400,22.4145,16,true,true
op-18,1783280968802118300,1783280968824199200,22.0809,16,true,true
op-19,1783280968822693200,1783280968844508800,21.8156,16,true,true
op-20,1783280968843505500,1783280968864896200,21.3907,16,true,true
op-21,1783280968863893000,1783280968885347900,21.4549,16,true,true
op-22,1783280968884344600,1783280968908129600,23.7850,16,true,true
op-23,1783280968904559000,1783280968927061600,22.5026,16,true,true
op-24,1783280968925271100,1783280968947205400,21.9343,16,true,true
op-25,1783280968945699900,1783280968967873400,22.1735,16,true,true
op-26,1783280968966387800,1783280968988192300,21.8045,16,true,true
op-27,1783280968986722300,1783280969011997300,25.2750,16,true,true
op-28,1783280969007254100,1783280969031611200,24.3571,16,true,true
op-29,1783280969027722300,1783280969049465300,21.7430,16,true,true
op-30,1783280969048461800,1783280969070634900,22.1731,16,true,true
op-31,1783280969068786500,1783280969091501900,22.7154,16,true,true
