nodes,rps,classic_tp,classic_lat,clustered_tp,clustered_lat,rep_tp,rep_lat
4,100,95.4205,20.4521,95.7753,20.3543,94.4697,13.2262
4,200,178.5983,21.4179,180.6078,21.3174,180.5404,14.2521
4,300,266.5741,32.8882,268.9765,32.8708,259.5742,14.1800
4,400,316.8989,48.4236,303.0587,51.3768,337.7725,19.5098
4,500,295.8525,64.1260,300.0188,60.0976,418.4244,26.7955
8,100,79.1343,191.6988,94.7102,29.6379,94.1823,14.5883
8,200,83.2944,212.7977,140.9214,68.2869,183.1583,25.0155
8,300,79.1977,227.6934,138.5482,81.4175,224.9167,42.8738
8,400,79.4762,253.0398,143.5611,87.2595,231.1269,50.2880
8,500,80.4650,332.5141,143.4834,96.4664,192.7525,70.4867
16,100,26.7258,2362.1598,47.0434,217.4787,68.6930,137.9419
16,200,16.2492,3599.8279,46.2673,274.4925,69.5341,233.2512
16,300,16.2331,3043.6097,42.6265,292.9289,70.4900,195.0534
16,400,16.0474,2604.0086,43.2400,274.1033,69.1317,170.5275
16,500,16.1799,4325.3088,41.8769,340.1328,66.4571,248.7007
20,100,10.2301,6802.8212,33.5702,517.0902,52.9184,203.3893
20,200,9.6914,4795.3443,34.1108,385.2263,53.5423,285.0870
20,300,9.4029,5175.1626,33.0994,352.6438,53.3624,279.1473
20,400,6.6554,7760.0618,33.2168,367.8074,56.0121,184.0900
20,500,8.8840,7056.2114,33.4105,406.4834,56.2752,229.0905
