epoch,node_id,node_type,reputation
0,node-0-0,honest,10.0000
0,node-0-1,byzantine,10.0000
0,node-0-2,byzantine,10.0000
0,node-0-3,honest,10.0000
1,node-0-0,honest,20.0000
1,node-0-1,byzantine,8.5000
1,node-0-2,byzantine,8.5000
1,node-0-3,honest,20.0000
2,node-0-0,honest,22.9430
2,node-0-1,byzantine,7.2250
2,node-0-2,byzantine,18.5000
2,node-0-3,honest,22.9430
3,node-0-0,honest,25.6940
3,node-0-1,byzantine,6.1412
3,node-0-2,byzantine,15.7250
3,node-0-3,honest,25.6940
4,node-0-0,honest,28.3152
4,node-0-1,byzantine,16.1412
4,node-0-2,byzantine,19.1664
4,node-0-3,honest,28.3152
5,node-0-0,honest,30.8399
5,node-0-1,byzantine,13.7201
5,node-0-2,byzantine,16.2914
5,node-0-3,honest,30.8399
6,node-0-0,honest,33.2887
6,node-0-1,byzantine,11.6621
6,node-0-2,byzantine,19.6396
6,node-0-3,honest,33.2887
7,node-0-0,honest,35.6753
7,node-0-1,byzantine,9.9127
7,node-0-2,byzantine,22.6117
7,node-0-3,honest,35.6753
8,node-0-0,honest,38.0097
8,node-0-1,byzantine,19.9127
8,node-0-2,byzantine,25.3811
8,node-0-3,honest,38.0097
9,node-0-0,honest,40.2993
9,node-0-1,byzantine,22.8627
9,node-0-2,byzantine,21.5739
9,node-0-3,honest,40.2993
10,node-0-0,honest,42.5497
10,node-0-1,byzantine,19.4333
10,node-0-2,byzantine,18.3378
10,node-0-3,honest,42.5497
11,node-0-0,honest,44.7655
11,node-0-1,byzantine,16.5183
11,node-0-2,byzantine,21.4299
11,node-0-3,honest,44.7655
12,node-0-0,honest,46.9504
12,node-0-1,byzantine,14.0405
12,node-0-2,byzantine,24.2707
12,node-0-3,honest,46.9504
13,node-0-0,honest,49.1073
13,node-0-1,byzantine,11.9345
13,node-0-2,byzantine,20.6301
13,node-0-3,honest,49.1073
14,node-0-0,honest,51.2387
14,node-0-1,byzantine,10.1443
14,node-0-2,byzantine,17.5356
14,node-0-3,honest,51.2387
15,node-0-0,honest,53.3470
15,node-0-1,byzantine,18.9566
15,node-0-2,byzantine,20.7160
15,node-0-3,honest,53.3470
16,node-0-0,honest,55.4338
16,node-0-1,byzantine,21.9885
16,node-0-2,byzantine,17.6086
16,node-0-3,honest,55.4338
17,node-0-0,honest,57.5007
17,node-0-1,byzantine,24.7943
17,node-0-2,byzantine,20.7804
17,node-0-3,honest,57.5007
18,node-0-0,honest,59.5492
18,node-0-1,byzantine,27.4541
18,node-0-2,byzantine,17.6634
18,node-0-3,honest,59.5492
19,node-0-0,honest,61.5805
19,node-0-1,byzantine,30.0082
19,node-0-2,byzantine,20.8288
19,node-0-3,honest,61.5805
20,node-0-0,honest,63.5957
20,node-0-1,byzantine,32.4804
20,node-0-2,byzantine,17.7045
20,node-0-3,honest,63.5957
21,node-0-0,honest,65.5957
21,node-0-1,byzantine,27.6084
21,node-0-2,byzantine,20.8652
21,node-0-3,honest,65.5957
22,node-0-0,honest,67.5815
22,node-0-1,byzantine,30.1571
22,node-0-2,byzantine,23.7441
22,node-0-3,honest,67.5815
23,node-0-0,honest,69.5537
23,node-0-1,byzantine,32.6250
23,node-0-2,byzantine,26.4535
23,node-0-3,honest,69.5537
24,node-0-0,honest,71.5131
24,node-0-1,byzantine,35.0275
24,node-0-2,byzantine,22.4855
24,node-0-3,honest,71.5131
25,node-0-0,honest,73.4604
25,node-0-1,byzantine,29.7734
25,node-0-2,byzantine,25.2620
25,node-0-3,honest,73.4604
26,node-0-0,honest,75.3961
26,node-0-1,byzantine,32.2525
26,node-0-2,byzantine,27.9013
26,node-0-3,honest,75.3961
27,node-0-0,honest,77.3208
27,node-0-1,byzantine,27.4146
27,node-0-2,byzantine,23.7161
27,node-0-3,honest,77.3208
28,node-0-0,honest,79.2350
28,node-0-1,byzantine,23.3024
28,node-0-2,byzantine,20.1587
28,node-0-3,honest,79.2350
