nodes,rps,our_throughput,our_latency_ms,pbft_throughput,pbft_latency_ms
8,100,95.1950,21.4720,93.1712,110.2025
8,200,182.5658,42.6188,103.4198,165.9420
8,300,175.8310,60.4629,97.0567,188.5415
8,400,161.9145,73.5726,91.8057,200.7830
8,500,160.1354,79.7463,90.2110,269.6801
12,100,95.2312,52.4219,38.1102,482.2227
12,200,99.6824,87.9057,39.1262,519.8699
12,300,99.3361,98.3634,39.1036,569.5578
12,400,101.7962,100.9612,38.9210,543.2307
12,500,99.4035,153.2771,38.9549,829.6432
16,100,73.5367,93.6646,25.3402,1358.3950
16,200,45.0515,256.3470,17.6426,3111.4925
16,300,44.9669,296.3871,17.4307,3201.4391
16,400,45.3583,234.9210,16.8183,4280.3267
16,500,42.8277,361.9963,16.6282,3201.9274
20,100,35.3670,684.4399,9.5445,8169.3885
20,200,34.7012,472.9631,10.2819,5703.6712
20,300,33.9503,302.9758,10.1289,6615.9193
20,400,34.2391,294.6821,9.7772,5293.5094
20,500,34.3687,314.9799,10.4324,6558.7420
